GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType.new DataType() {...},0,24,0,2,0,6,0,3,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType.new DataType() {...},0,18,0,0,0,5,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType.new DataType() {...},0,18,0,0,0,5,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType.new DataType() {...},0,13,0,0,0,4,0,3,0,3
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType.new DataType() {...},0,18,0,0,0,5,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType.new DataType() {...},0,28,0,4,0,7,0,4,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,GeographicValue,0,35,0,4,0,8,0,5,0,3
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType.new DataType() {...},0,26,0,0,0,7,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType.new DataType() {...},0,23,0,2,0,6,0,3,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType.new Supplier() {...},0,27,0,0,0,5,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType.new Predicate() {...},0,17,0,0,0,6,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,ParsingException,0,11,0,0,0,6,0,3,0,3
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType.new Function() {...},0,7,0,0,0,3,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType.new Comparator() {...},0,11,0,0,0,3,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.datatype,DataType,0,181,0,2,0,23,0,8,0,7
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.formats,CsvFormat.TabSeparated,0,5,0,0,0,2,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.formats,CsvFormat.Default,0,5,0,0,0,2,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata,CsvMetadataGenerator.new CsvMetadataGenerator.Extractor() {...},0,6,0,0,0,3,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata,CsvMetadataGenerator,48,136,14,6,2,30,9,8,1,6
CSV Metadata Generator,com.asoroka.sidora.csvmetadata,CsvMetadata,0,21,0,0,0,8,0,4,0,4
CSV Metadata Generator,com.asoroka.sidora.csvmetadata,CsvMetadataGenerator.new CsvMetadataGenerator.Extractor() {...},0,6,0,0,0,3,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.heuristics,HeaderHeuristic.Default,2,12,0,0,1,4,1,3,1,3
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.heuristics,HeaderHeuristic.Default.new Predicate() {...},0,9,0,0,0,3,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.heuristics,StrictHeuristic,0,43,0,0,0,6,0,4,0,4
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.heuristics,CountAggregatingHeuristic.new Predicate() {...},0,11,0,0,0,3,0,2,0,2
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.heuristics,FractionHeuristic,0,36,0,2,0,6,0,4,0,3
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.heuristics,RunningMinMaxHeuristic,2,88,0,6,1,12,1,6,1,3
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.heuristics,CountAggregatingHeuristic,0,122,0,8,0,20,0,11,0,7
CSV Metadata Generator,com.asoroka.sidora.csvmetadata.statistics,CsvScanner,0,95,0,10,0,23,0,10,0,5
